card_id,series,srno,source_id,match_method,원문상태,재무선별,needs_review
1758-1,감사원,1758,S03574,srno,pdf_conv,,
1758-2,감사원,1758,S03574,srno,pdf_conv,,
1758-3,감사원,1758,S03574,srno,pdf_conv,,
1758-4,감사원,1758,S03574,srno,pdf_conv,,
1758-5,감사원,1758,S03574,srno,pdf_conv,,
1758-6,감사원,1758,S03574,srno,pdf_conv,recall,
1758-7,감사원,1758,S03574,srno,pdf_conv,recall,
1758-8,감사원,1758,S03574,srno,pdf_conv,분야축,
1758-9,감사원,1758,S03574,srno,pdf_conv,분야축,
1758-10,감사원,1758,S03574,srno,pdf_conv,분야축,
1758-11,감사원,1758,S03574,srno,pdf_conv,분야축,
1758-12,감사원,1758,S03574,srno,pdf_conv,분야축,
1758-13,감사원,1758,S03574,srno,pdf_conv,,
1758-14,감사원,1758,S03574,srno,pdf_conv,,
1758-15,감사원,1758,S03574,srno,pdf_conv,,
1981-1,감사원,1981,S03733,srno,pdf_conv,,
1981-2,감사원,1981,S03733,srno,pdf_conv,,
1981-3,감사원,1981,S03733,srno,pdf_conv,,
1981-4,감사원,1981,S03733,srno,pdf_conv,,
1981-5,감사원,1981,S03733,srno,pdf_conv,,
1981-6,감사원,1981,S03733,srno,pdf_conv,recall,
1981-7,감사원,1981,S03733,srno,pdf_conv,,
1981-8,감사원,1981,S03733,srno,pdf_conv,,
1981-9,감사원,1981,S03733,srno,pdf_conv,,
1981-10,감사원,1981,S03733,srno,pdf_conv,recall,
1981-11,감사원,1981,S03733,srno,pdf_conv,,
1981-12,감사원,1981,S03733,srno,pdf_conv,recall,
1981-13,감사원,1981,S03733,srno,pdf_conv,분야축,
1981-14,감사원,1981,S03733,srno,pdf_conv,,
1981-15,감사원,1981,S03733,srno,pdf_conv,분야축,
1981-16,감사원,1981,S03733,srno,pdf_conv,,
1981-17,감사원,1981,S03733,srno,pdf_conv,,
1981-18,감사원,1981,S03733,srno,pdf_conv,,
1981-19,감사원,1981,S03733,srno,pdf_conv,,
1981-20,감사원,1981,S03733,srno,pdf_conv,,
1981-21,감사원,1981,S03733,srno,pdf_conv,,
1981-22,감사원,1981,S03733,srno,pdf_conv,,
1981-23,감사원,1981,S03733,srno,pdf_conv,,
1981-24,감사원,1981,S03733,srno,pdf_conv,분야축,
1981-25,감사원,1981,S03733,srno,pdf_conv,분야축,
1981-26,감사원,1981,S03733,srno,pdf_conv,,
1981-27,감사원,1981,S03733,srno,pdf_conv,,
1981-28,감사원,1981,S03733,srno,pdf_conv,,
1981-29,감사원,1981,S03733,srno,pdf_conv,,
1981-30,감사원,1981,S03733,srno,pdf_conv,,
1981-31,감사원,1981,S03733,srno,pdf_conv,,
1981-32,감사원,1981,S03733,srno,pdf_conv,,
1981-33,감사원,1981,S03733,srno,pdf_conv,분야축,
1981-34,감사원,1981,S03733,srno,pdf_conv,,
1981-35,감사원,1981,S03733,srno,pdf_conv,,
1981-36,감사원,1981,S03733,srno,pdf_conv,,
1981-37,감사원,1981,S03733,srno,pdf_conv,,
1982-1,감사원,1982,S03734,srno,pdf_conv,,
1982-2,감사원,1982,S03734,srno,pdf_conv,,
1982-3,감사원,1982,S03734,srno,pdf_conv,,
1982-4,감사원,1982,S03734,srno,pdf_conv,,
1982-5,감사원,1982,S03734,srno,pdf_conv,recall,
1982-6,감사원,1982,S03734,srno,pdf_conv,분야축,
1985-1,감사원,1985,S03737,srno,pdf_conv,recall,
1985-2,감사원,1985,S03737,srno,pdf_conv,,
1985-3,감사원,1985,S03737,srno,pdf_conv,,
1985-4,감사원,1985,S03737,srno,pdf_conv,,
1985-5,감사원,1985,S03737,srno,pdf_conv,,
1985-6,감사원,1985,S03737,srno,pdf_conv,,
1985-7,감사원,1985,S03737,srno,pdf_conv,,
1985-8,감사원,1985,S03737,srno,pdf_conv,,
1985-9,감사원,1985,S03737,srno,pdf_conv,,
1985-10,감사원,1985,S03737,srno,pdf_conv,,
1985-11,감사원,1985,S03737,srno,pdf_conv,,
1985-12,감사원,1985,S03737,srno,pdf_conv,,
1985-13,감사원,1985,S03737,srno,pdf_conv,recall,
1985-14,감사원,1985,S03737,srno,pdf_conv,,
1985-15,감사원,1985,S03737,srno,pdf_conv,recall,
1985-16,감사원,1985,S03737,srno,pdf_conv,분야축,
1994-1,감사원,1994,S01914,srno,hwp,,
1994-2,감사원,1994,S01914,srno,hwp,,
1994-3,감사원,1994,S01914,srno,hwp,,
1994-4,감사원,1994,S01914,srno,hwp,,
1994-5,감사원,1994,S01914,srno,hwp,,
1994-6,감사원,1994,S01914,srno,hwp,,
1994-7,감사원,1994,S01914,srno,hwp,,
1994-8,감사원,1994,S01914,srno,hwp,,
1994-9,감사원,1994,S01914,srno,hwp,,
1994-10,감사원,1994,S01914,srno,hwp,,
1999-1,감사원,1999,S01924,srno,hwp,,
1999-2,감사원,1999,S01924,srno,hwp,,
1999-3,감사원,1999,S01924,srno,hwp,,
1999-4,감사원,1999,S01924,srno,hwp,,
1999-5,감사원,1999,S01924,srno,hwp,,
1999-6,감사원,1999,S01924,srno,hwp,,
2006-1,감사원,2006,S03748,srno,pdf_conv,,
2006-2,감사원,2006,S03748,srno,pdf_conv,,
2006-3,감사원,2006,S03748,srno,pdf_conv,,
2006-4,감사원,2006,S03748,srno,pdf_conv,recall,
2006-5,감사원,2006,S03748,srno,pdf_conv,,
2006-6,감사원,2006,S03748,srno,pdf_conv,,
2006-7,감사원,2006,S03748,srno,pdf_conv,,
2006-8,감사원,2006,S03748,srno,pdf_conv,분야축,
2006-9,감사원,2006,S03748,srno,pdf_conv,,
2006-10,감사원,2006,S03748,srno,pdf_conv,,
2006-11,감사원,2006,S03748,srno,pdf_conv,분야축,
2006-12,감사원,2006,S03748,srno,pdf_conv,분야축,
2007-1,감사원,2007,S03750,srno,pdf_conv,,
2007-2,감사원,2007,S03750,srno,pdf_conv,,
2007-3,감사원,2007,S03750,srno,pdf_conv,,
