source_id,source_series,root,file_name,ext,size,sha256,srno,year,audit_type,audit_name,원문상태
S00001,감사원,BAI,20030820_[재무]_광주광역시 감사결과_280.pdf,.pdf,336638,01492908b2e9c62aa621d434431ef4c293e04d4caae3a05496379923d8cad074,280,2003,재무,광주광역시 감사결과,pdf
S00002,감사원,BAI,20030820_[특정사안]_『공기업 등 해외사업 및 지사 운영실태』감사결과_279.pdf,.pdf,373378,dfd571b0b36c87667e2b8cb41a40e6c82948bc742ed2ba73bd5a58ff9e34e53a,279,2003,특정사안,『공기업 등 해외사업 및 지사 운영실태』감사결과,pdf
S00003,감사원,BAI,20030828_[성과]_『전통문화 전승·보급시책 추진실태』감사결과_282.pdf,.pdf,558542,f5b0766b8d822e0fd9bb3d3ed95ee95a9585bf6a3ce188bb3eedda98bd18fecf,282,2003,성과,『전통문화 전승·보급시책 추진실태』감사결과,pdf
S00004,감사원,BAI,20030828_[특정사안]_『부담금·기부금품 등 부과·모금 및 집행실태』감사결과_281.pdf,.pdf,257483,fad575b8fa3bb19d04815dd50c8d833bc383d9323f53f17b09027da8e9512a1b,281,2003,특정사안,『부담금·기부금품 등 부과·모금 및 집행실태』감사결과,pdf
S00005,감사원,BAI,20030914_[특정사안]_직무발명 관련 특허권 등 산업재산권 출원ㆍ등록 실태 감사결과_283.pdf,.pdf,221215,362ca6271219d4754b608ab8c9f5e74e0cf91c1ef8c8d5d1dc9df2e3f4badea9,283,2003,특정사안,직무발명 관련 특허권 등 산업재산권 출원ㆍ등록 실태 감사결과,pdf
S00006,감사원,BAI,20030915_[기타서면]_범죄발생 통보사항에 대한 ㅇㅇ대학병원 감사결과_284.pdf,.pdf,113795,de0bae41379a5287ebb1c7c6715c17956de1e8e81251f7117caa8ca505674938,284,2003,기타서면,범죄발생 통보사항에 대한 ㅇㅇ대학병원 감사결과,pdf
S00007,감사원,BAI,20030918_[미분류]_강원도·원주시 감사결과_286.pdf,.pdf,336956,36e6e6b8cfe195ec6c40eb3c1491e76b459c4556d9d3b4af395f084f7e8f0a5d,286,2003,미분류,강원도·원주시 감사결과,pdf
S00008,감사원,BAI,20030918_[특정사안]_『국가 및 민간자격 관리ㆍ운영 실태』감사결과_285.pdf,.pdf,1718176,6123a96fc9f0134d6304da32c7d6d1e8300d9d7720b93f73e29bf2d1b3a72173,285,2003,특정사안,『국가 및 민간자격 관리ㆍ운영 실태』감사결과,pdf
S00009,감사원,BAI,20030924_[성과]_경인운하 건설사업 추진실태_287.pdf,.pdf,1411761,49fb5ed430613145e46ee31f91c931f98ebf6a26a8cce9a518eae3f940865760,287,2003,성과,경인운하 건설사업 추진실태,pdf
S00010,감사원,BAI,20030925_[재무]_외교통상부 본부 및 재외공관 감사결과_288.pdf,.pdf,505111,eb1bfa0cf289f4470268cb7a353d3e7db21a7dc11f0c8f8867b0770daecc2a92,288,2003,재무,외교통상부 본부 및 재외공관 감사결과,pdf
S00011,감사원,BAI,20030926_[특정사안]_고속도로망 구축 및 운영실태_289.pdf,.pdf,690198,8995003dbabe241ab65d2212785b895c91e6de60f410ba583970838cabfc36f1,289,2003,특정사안,고속도로망 구축 및 운영실태,pdf
S00012,감사원,BAI,20030926_[특정사안]_공직비리 관련 민원 ·신고 등 조사확인_291.pdf,.pdf,334011,1a9f82b234055d22fdcee63741208872cec574ee0969ceabdc8ef5a4bc0856b1,291,2003,특정사안,공직비리 관련 민원 ·신고 등 조사확인,pdf
S00013,감사원,BAI,20030930_[특정사안]_지하철 안전관리 실태_292.pdf,.pdf,3949436,4a77ffa4fdae8e30b5b8b56fc06c55940023b7a36f01f1ce85250d9db0a8016e,292,2003,특정사안,지하철 안전관리 실태,pdf
S00014,감사원,BAI,20031017_[성과]_국립공원 지정 및 관리실태_293.pdf,.pdf,2234395,287774629b478e2c784b0af47e113ff4114d2459d1f514eef08329be0f6a123b,293,2003,성과,국립공원 지정 및 관리실태,pdf
S00015,감사원,BAI,20031031_[특정사안]_철도건설관리 및 물자조달실태_294.pdf,.pdf,944018,7a57fe711abc634ae426d6e90cabedc4fa27852530107d476fc43efca0b190cc,294,2003,특정사안,철도건설관리 및 물자조달실태,pdf
S00016,감사원,BAI,20031101_[성과]_지방공기업 경영개선 추진실태_295.pdf,.pdf,2708274,3bb26a15dcc7487296ee7d715e1578a3b91423065c11da041c226e78fffb21fc,295,2003,성과,지방공기업 경영개선 추진실태,pdf
S00017,감사원,BAI,20031107_[성과]_의약품 등 관리시책 추진실태_296.pdf,.pdf,1557785,ca7ef0d42a0b9a1da85627b32083902aa3b6cbbe05f6d53c192e7cdcc99081c8,296,2003,성과,의약품 등 관리시책 추진실태,pdf
S00018,감사원,BAI,20031119_[특정사안]_공직비리 관련 감사청구 ·민원 등 조사확인_297.pdf,.pdf,300286,62e8f22a9ae09b03428c8116a25d05bb2d99aa22cb19881e9eef2d82e1fd2176,297,2003,특정사안,공직비리 관련 감사청구 ·민원 등 조사확인,pdf
S00019,감사원,BAI,20031208_[특정사안]_과세자료 기반구축 및 운용실태 감사결과_298.pdf,.pdf,827513,874b932dd96ef87f35e50b78588a2e1e45cc6807a36fc15df3f673091ef52d83,298,2003,특정사안,과세자료 기반구축 및 운용실태 감사결과,pdf
S00020,감사원,BAI,20031222_[재무]_국회사무처 감사결과_299.pdf,.pdf,263962,46dba7e4893ca65a2eab896b7958e94b7c779746c3d7f93effa8e4f2518d7a5b,299,2003,재무,국회사무처 감사결과,pdf
S00021,감사원,BAI,20031230_[특정사안]_광역자치단체 건설공사 집행실태_300.pdf,.pdf,365435,dac84e736514072d0755b29260fa6884547f62a9565a03cedd1917021f7dc5d8,300,2003,특정사안,광역자치단체 건설공사 집행실태,pdf
S00022,감사원,BAI,20031230_[특정사안]_대형건축물 허가 및 안전관리실태_301.pdf,.pdf,1939444,95988c0f075ae1a303c1edd027ec918bdac7a87e0f67201f0b09762cac8fc962,301,2003,특정사안,대형건축물 허가 및 안전관리실태,pdf
S00023,감사원,BAI,20040107_[특정사안]_감사정보 및 민원조사 결과_302.pdf,.pdf,321034,d3a756cc05ac4dc95a722892f4fed6a8dfc7060db436a86105d593fef429347e,302,2004,특정사안,감사정보 및 민원조사 결과,pdf
S00024,감사원,BAI,20040126_[성과]_중소기업지원체계 및 단체수의계약제도 운영실태_303.pdf,.pdf,780993,6a65441ae99cc545b35eaf2ab31fcf51c55344eaade42b00d1c12708267e192c,303,2004,성과,중소기업지원체계 및 단체수의계약제도 운영실태,pdf
S00025,감사원,BAI,20040302_[미분류]_공직기강 동향 기동점검_304.pdf,.pdf,258875,45d2091311109b9277cb71ffb8850f7a2ae9382c252678b036b977d9b598e687,304,2004,미분류,공직기강 동향 기동점검,pdf
S00026,감사원,BAI,20040302_[재무]_대전광역시 감사결과_305.pdf,.pdf,624980,e8289d33c572d50b9834b0974855e6a491ca9a2c07143dd599cd8c7aa1e6b25c,305,2004,재무,대전광역시 감사결과,pdf
S00027,감사원,BAI,20040303_[기관정기]_국립대학재정 운용실태 감사결과_306.pdf,.pdf,1505520,db52cbeef27ad386c95e1c04a2bd5e475b5d65abf400fca578a09bcbdfa47ad6,306,2004,기관정기,국립대학재정 운용실태 감사결과,pdf
